,items,type,veg/non-veg,Calcium,Calories,Carbohydrates,Carotene Vitamin A,Chlorine,Choline,Chromium,Copper,Fat,Fibre,Folic Acid Free,Iron,Magnesium,Manganese,Molybdenum,Niacin B3,Phosphorus,Potassium,Protein,Pyridoxin B6,Riboflavin B2,Sodium,Sulphur,ThiamineB1,Vitamin C,Water,Zink,Vitamin A RAE,Quantity
97,Peas (Dry),,,75,315,56.5,39,59,235,0.03,1.3,1.1,4.5,4.6,7.05,100,0.58,0.64,3.4,298,725,19.7,0,0.19,20.4,190,0.47,0,16,2.3,3,Amount per 100 g. of edible portion
98,"Peru, Amrood (Guava)",f,,10,51,11.2,0,4,0,0.01,0.14,0.3,5.2,0,0.27,24,0.14,0,0.4,28,91,0.9,0,0.03,5.5,14,0.03,212,81.7,0.16,0,Amount per 100 g. of edible portion
99,Phool gobhi (Cauliflower),s,,33,30,4,30,34,127,0,0.13,0.4,1.2,0,1.23,18,0.1,0,1,57,138,2.6,0,0.1,53,231,0.04,56,90.8,0.4,3,Amount per 100 g. of edible portion
100,Phool Gobhi Patta (Cauliflower Leaves),,,626,66,7.6,0,0,0,0,0,1.3,2,0,40,0,0,0,0,107,0,5.9,0,0,0,0,0,0,80,0,0,Amount per 100 g. of edible portion
101,Pista (Pistachio Nut),f,,140,626,16.2,144,0,0,0,0,53.5,2.1,0,7.7,0,0,0,2.3,430,0,19.8,0,0.28,0,0,0.67,0,5.6,0,12,Amount per 100 g. of edible portion
102,Poha (Rice Flakes),,,20,346,77.3,0,17,0,0,0.37,1.2,0.7,0,20,101,0,0,4,238,154,6.6,0,0.05,11,105,0.21,0,12.2,0,0,Amount per 100 g. of edible portion
103,Prawns(Kolambi) Fish,s,nv,323,89,0.8,0,0,542,0,0,1,0,0,5.3,0,0,0,4.8,278,262,19.1,0,0.1,66,0,0.01,0,77.4,0,0,Amount per 100 g. of edible portion
104,Pyaj (Onion),,,47,50,11.1,0,0,0,0.01,0.18,0.1,0.6,1.5,0.6,16,0.18,0.03,0.4,50,127,1.2,0,0.01,4,0,0.08,11,86.6,0.41,0,Amount per 100 g. of edible portion
105,Pyaj ka patta (Onion Leaves),,,50,41,8.9,595,7,0,0.04,0.45,0.2,1.6,0,7.4,104,0.74,0,0.3,50,0.01,0.9,0,0.03,2.2,33,0,17,87.6,2.29,50,Amount per 100 g. of edible portion
106,Ragi (Finger Millet),,,344,328,72,42,44,0,0.03,0.47,1.3,3.6,5.2,3.9,137,5.5,0.1,1.1,283,408,7.3,0,0.19,11,160,0.42,0,13.1,2.3,4,Amount per 100 g. of edible portion
107,Rai (Mustard),,,490,541,23.8,162,0,211,0.06,0.83,39.7,1.8,0,7.9,0,2.56,0.09,4,700,0,20,0,0.26,0,0,0.65,0,8.5,4.8,14,Amount per 100 g. of edible portion
108,Rajma (French Beans) (Dry),s,,260,346,50.6,0,0,0,0.03,1.45,1.3,4.8,0,5.1,184,1.6,0,0,410,0,22.9,0,0,0,0,0,0,12,4.5,0,Amount per 100 g. of edible portion
109,Ravas Fish (Guchhai),s,nv,405,112,3.3,0,0,0,0,0,1.1,0,0,2,0,0,0,0,335,0,22.2,0,0,0,0,0,0,71.4,0,0,Amount per 100 g. of edible portion
110,"Rawa, Sooji (Semolina)",,,16,348,74.8,0,0,0,0,0,0.8,0.2,0,1.6,0,0,0,1.6,102,83,10.4,0,0.03,21,0,0.12,0,13,0,0,Amount per 100 g. of edible portion
111,Rhepti Fish (sole fish) (Malabar),,,1072,120,0,0,0,0,0,0,4.7,0,0,0.5,0,0,0,0,524,0,19.5,0,0,0,0,0,0,78,0,0,Amount per 100 g. of edible portion
112,Rice(handpounded),,,10,346,76.7,2,0,77,0,0,1,0.6,0,3.2,0,0,0,3.9,190,0,7.5,0,0.16,0,0,0.21,0,13.3,0,0,Amount per 100 g. of edible portion
113,Rice(Milled),,,10,345,78.2,0,0,0,0,0.14,0.5,0.2,4.1,0.7,90,0.6,0.06,1.9,160,0,6.8,0,0.06,0,0,0.06,0,13.7,1.4,0,Amount per 100 g. of edible portion
