,meal,Calcium,Calories,Carbohydrates,Fat,Iron,Niacin Vitamin B3,Protein,Riboflavin Vitamin B2,Thiamine Vitamin B1,Vitamin A RAE,Quantity,type,veg/non-veg
211,Sago Cutlets,13,293,48.7,10.2,0.9,1.2,1.7,0.01,0.1,2,Amount per 2 Pcs.,b,
213,Sarson Ka Saag,200,157,15.7,6.7,25,0.5,8.5,0.14,0.22,561,Amount per 1 Bowl,s,
214,Scrambled Egg (Ande Ki Bhurji),57,172,0.8,15.8,0.7,0.1,6.7,0.22,0.06,52,Amount per 1 Egg,b,eg
215,Semolina Upama (Rawa Upma),11,147,17.1,7.7,0.5,0.4,2.3,0.01,0.04,0,Amount per 1 Bowl,b,
216,Semonlina Porridge (Rawa Kheer),291,293,40.4,10.2,0.8,0.6,9.8,0.46,1.22,12,Amount per 1 Bowl,d,
217,Sevian Kheer,273,271,39.2,9.2,0.6,0.4,7.9,0.4,0.12,1,Amount per 1 Bowl,d,
218,Shahi Keema Kofta Curry,238,508,10.2,41.3,4.3,8.7,23.8,0.21,0.34,18,Amount per 1 Bowl,s,
219,Shammi Kabab,180,435,25.8,25.8,3.4,7.4,25,0.21,0.29,74,Amount per 1 Bowl,m,nv
220,Sour Cream Potato (Aalu) Salad,49,388,31.1,26.3,1.5,1.6,6.8,0.16,0.19,25,Amount per 1 Small Bowl,f,
221,Sour Lentils,39,127,23.3,0.2,3.2,0.9,7.9,0.07,0.15,7,Amount per 1 Curry Bowl,s,
222,Spaghetti Bolognese,174,346,38.3,14.9,3.2,4.8,14.6,0.21,0.28,72,Amount per 1 Shallow dish,b,
223,Spanish Omelette,48,267,9.6,19.8,1.8,0.8,12.5,0.22,0.28,73,Amount per 1 Egg,b,eg
224,Spinach Raita,231,143,8.5,8.7,1.6,2.6,7.7,0.43,0.17,468,Amount per 1 Bowl,si,
225,Spinach Soup (Paalak Soup),81,561,116.2,8.9,1.5,0.8,3.9,0.27,0.06,492,Amount per 1 Bowl,j,
226,Sponge Cake,20.2,177,27.8,4.6,0.9,0.4,6.2,0.14,0.05,17,Amount per 1 Pc.,d,
227,Sponge Chocolate Cake,18.8,156,23.3,4.5,0.7,0.3,5.5,0.14,0.05,17,Amount per 1 Pc.,d,
228,Spourted Green Gram Raita,166,105,11.21,4.1,0.7,0.4,5.8,0.18,0.11,3,Amount per 1 Bowl,si,
229,Sprouted Dal Paratha,85,727,87.6,32,6,4.7,22.1,0.24,0.64,4,Amount per 3 MEDIUM,n,
230,Strawberry Ice Cream,90,288,18.2,22.9,0.2,0.1,2.3,0.14,0.03,35,Amount per 1 Ice Cream Cup,d,
231,Stuffed Baked Potato,33,334,34,18.8,1.3,1.8,7.1,0.16,0.19,58,Amount per 1-2 Potatoes,b,
232,Stuffed Bhindi,79,132,7.7,10.2,0.5,0.7,2.3,0.12,0.08,5,Amount per 1 Bowl,s,
233,Stuffed Ghia,323,456,21.1,31.8,2.9,4.1,21.3,0.34,0.22,53,Amount per 1/2 Marrow,s,
234,Stuffed Karela (Dry),16,156,3.4,15.2,0.5,0.4,1.3,0.07,0.06,8,Amount per 3 Pcs.,si,
235,Stuffed Kerelas (wet),39,225,8.9,20.2,1,0.6,1.9,0.08,0.1,8,Amount per 1 Bowl,si,
236,Stuffed Tomatoes,138,233,17.1,15.6,1.5,1.1,6,0.08,0.27,69,Amount per 2 tomatoes,si,
237,Suji Halwa,16,380,39.1,23.2,0.7,0.6,3.6,0.04,0.04,33,Amount per 1 Small Bowl,d,
238,Suji Laddoo with Khoa,125,355,38,20.1,0.6,0.5,5.6,0.07,0.07,26,Amount per 2 Pcs.,d,
239,Suji Laddoo with Nuts,16,290,31.4,16.7,0.8,0.5,3.4,0.03,0.09,26,Amount per 2 Pcs.,d,
242,Tandoori Fish,7,174,2.4,6.8,3.1,0,25.7,0.02,0.01,1,Amount per 1 Bowl,m,nv
243,Til and Channa Chikki,110,217,41.7,3.3,2.3,0.8,5.2,0.09,0.16,2,Amount per 2 Pcs.,d,
244,Til Laddoo,256,158,20,7.2,2,0.8,3.2,0.07,0.18,1,Amount per 2 Pcs.,d,
246,Tomato Chese,88,268,33.3,11.8,0.9,0.6,7.2,0.06,0.09,38,Amount per 2 Pcs.,m,
247,Tomato Cucumber,28,231,33.1,8.6,1,0.6,5.2,0.02,0.1,38,Amount per 2 Pcs.,f,
248,Tomato Ginger Chutney,12,6,1,0.1,0.2,0.1,0.3,0.02,0.03,7,Amount per 2 T,si,
249,Tomato Grilled,160,313,34.8,15,1.2,0.6,9.6,0.12,0.12,44,Amount per 4 Pcs.,si,
250,Tomato Soup,101,82,8.3,4.5,1.3,0.8,2.1,0.21,0.25,72,Amount per 1 Bowl,j,
251,Tossed Green Salad,50,153,9.2,12.2,0.9,0.5,1.5,0.04,0.18,19,Amount per 1 Small Bowl,f,
